bare	accented	translations_en	translations_de	comparative	superlative	short_m	short_f	short_n	short_pl	decl_m_nom	decl_m_gen	decl_m_dat	decl_m_acc	decl_m_inst	decl_m_prep	decl_f_nom	decl_f_gen	decl_f_dat	decl_f_acc	decl_f_inst	decl_f_prep	decl_n_nom	decl_n_gen	decl_n_dat	decl_n_acc	decl_n_inst	decl_n_prep	decl_pl_nom	decl_pl_gen	decl_pl_dat	decl_pl_acc	decl_pl_inst	decl_pl_prep
образцовый	образцо'вый	model, exemplary	vorbildlich, mustergültig							образцо'вый	образцо'вого	образцо'вому	образцо'вый,образцо'вого	образцо'вым	образцо'вом	образцо'вая	образцо'вой	образцо'вой	образцо'вую	образцо'вой,(образцо'вою)	образцо'вой	образцо'вое	образцо'вого	образцо'вому	образцо'вое	образцо'вым	образцо'вом	образцо'вые	образцо'вых	образцо'вым	образцо'вые,образцо'вых	образцо'выми	образцо'вых
неуместный	неуме'стный	misplaced, irrelevant, inappropriate, out of place	unangebracht, unpassend			неуме'стен	неуме'стна	неуме'стно	неуме'стны	неуме'стный	неуме'стного	неуме'стному	неуме'стный,неуме'стного	неуме'стным	неуме'стном	неуме'стная	неуме'стной	неуме'стной	неуме'стную	неуме'стной, неуме'стною	неуме'стной	неуме'стное	неуме'стного	неуме'стному	неуме'стное	неуме'стным	неуме'стном	неуме'стные	неуме'стных	неуме'стным	неуме'стные,неуме'стных	неуме'стными	неуме'стных
мыльный	мы'льный	soapy, saponaceous	Seifen-, seifig							мы'льный	мы'льного	мы'льному	мы'льный,мы'льного	мы'льным	мы'льном	мы'льная	мы'льной	мы'льной	мы'льную	мы'льной,(мы'льною)	мы'льной	мы'льное	мы'льного	мы'льному	мы'льное	мы'льным	мы'льном	мы'льные	мы'льных	мы'льным	мы'льные,мы'льных	мы'льными	мы'льных
болотный	боло'тный	marsh	Sumpf-, Moor-			боло'тен	боло'тна	боло'тно	боло'тны	боло'тный	боло'тного	боло'тному	боло'тный,боло'тного	боло'тным	боло'тном	боло'тная	боло'тной	боло'тной	боло'тную	боло'тной, боло'тною	боло'тной	боло'тное	боло'тного	боло'тному	боло'тное	боло'тным	боло'тном	боло'тные	боло'тных	боло'тным	боло'тные,боло'тных	боло'тными	боло'тных
достоверный	достове'рный	valid	zuverlässig, sicher, glaubwürdig			достове'рен	достове'рна	достове'рно	достове'рны	достове'рный	достове'рного	достове'рному	достове'рный,достове'рного	достове'рным	достове'рном	достове'рная	достове'рной	достове'рной	достове'рную	достове'рной,(достове'рною)	достове'рной	достове'рное	достове'рного	достове'рному	достове'рное	достове'рным	достове'рном	достове'рные	достове'рных	достове'рным	достове'рные,достове'рных	достове'рными	достове'рных
приветливый	приве'тливый	affable, friendly	freundlich			приве'тлив	приве'тлива	приве'тливо	приве'тливы	приве'тливый	приве'тливого	приве'тливому	приве'тливый,приве'тливого	приве'тливым	приве'тливом	приве'тливая	приве'тливой	приве'тливой	приве'тливую	приве'тливой,(приве'тливою)	приве'тливой	приве'тливое	приве'тливого	приве'тливому	приве'тливое	приве'тливым	приве'тливом	приве'тливые	приве'тливых	приве'тливым	приве'тливые,приве'тливых	приве'тливыми	приве'тливых
обтянутый	обтя'нутый		bespannt, bezogen, abgedeckt			обтя'нут	обтя'нута	обтя'нуто	обтя'нуты	обтя'нутый	обтя'нутого	обтя'нутому	обтя'нутый,обтя'нутого	обтя'нутым	обтя'нутом	обтя'нутая	обтя'нутой	обтя'нутой	обтя'нутую	обтя'нутой, обтя'нутою	обтя'нутой	обтя'нутое	обтя'нутого	обтя'нутому	обтя'нутое	обтя'нутым	обтя'нутом	обтя'нутые	обтя'нутых	обтя'нутым	обтя'нутые,обтя'нутых	обтя'нутыми	обтя'нутых
кудрявый	кудря'вый	curly, frizzy, curly-headed, leafy, bushy, ornate, flowery, full of flourishes	kraushaarig; lockig, lockenköpfig	кудря'вее		кудря'в	кудря'ва	кудря'во	кудря'вы	кудря'вый	кудря'вого	кудря'вому	кудря'вый,кудря'вого	кудря'вым	кудря'вом	кудря'вая	кудря'вой	кудря'вой	кудря'вую	кудря'вой,(кудря'вою)	кудря'вой	кудря'вое	кудря'вого	кудря'вому	кудря'вое	кудря'вым	кудря'вом	кудря'вые	кудря'вых	кудря'вым	кудря'вые,кудря'вых	кудря'выми	кудря'вых
обвиняемый	обвиня'емый	the accused, defendant, prisoner at the bar	(jemand, der) angeklagt / beschuldigt (wird)							обвиня'емый	обвиня'емого	обвиня'емому	обвиня'емый,обвиня'емого	обвиня'емым	обвиня'емом	обвиня'емая	обвиня'емой	обвиня'емой	обвиня'емую	обвиня'емой,(обвиня'емою)	обвиня'емой	обвиня'емое	обвиня'емого	обвиня'емому	обвиня'емое	обвиня'емым	обвиня'емом	обвиня'емые	обвиня'емых	обвиня'емым	обвиня'емые,обвиня'емых	обвиня'емыми	обвиня'емых
неслыханный	неслы'ханный	unheard of, unprecedented	unerhört, beispielslos			неслы'хан	неслы'ханна	неслы'ханно	неслы'ханны	неслы'ханный	неслы'ханного	неслы'ханному	неслы'ханный,неслы'ханного	неслы'ханным	неслы'ханном	неслы'ханная	неслы'ханной	неслы'ханной	неслы'ханную	неслы'ханной, неслы'ханною	неслы'ханной	неслы'ханное	неслы'ханного	неслы'ханному	неслы'ханное	неслы'ханным	неслы'ханном	неслы'ханные	неслы'ханных	неслы'ханным	неслы'ханные,неслы'ханных	неслы'ханными	неслы'ханных
