bare	accented	translations_en	translations_de	aspect	partner	imperative_sg	imperative_pl	past_m	past_f	past_n	past_pl	presfut_sg1	presfut_sg2	presfut_sg3	presfut_pl1	presfut_pl2	presfut_pl3
расписать	расписа'ть	paint, assign, enter, register	vollschreiben, vollmalen, ausmalen, bemalen; aufschreiben, notieren	perfective	расписывать	распиши'	распиши'те	расписа'л	расписа'ла	расписа'ло	расписа'ли	распишу'	распи'шешь	распи'шет	распи'шем	распи'шете	распи'шут
сморщиться	смо'рщиться	make a wry face, wince, cockle, wrinkle up	das Gesicht verziehen; schrumpfen / zusammenschrumpfen	perfective	морщиться;сморщиваться	смо'рщись//смо'рщься	смо'рщьтесь	смо'рщился	смо'рщилась	смо'рщилось	смо'рщились	смо'рщусь	смо'рщишься	смо'рщится	смо'рщимся	смо'рщитесь	смо'рщатся
поражаться	поража'ться	to be surprised	sich wundern über, erstaunt sein über, überrascht sein von, staunen über	imperfective	поразиться	поража'йся	поража'йтесь	поража'лся	поража'лась	поража'лось	поража'лись	поража'юсь	поража'ешься	поража'ется	поража'емся	поража'етесь	поража'ются
изменяться	изменя'ться	change	sich ändern, anders werden	imperfective	измениться	изменя'йся	изменя'йтесь	изменя'лся	изменя'лась	изменя'лось	изменя'лись	изменя'юсь	изменя'ешься	изменя'ется	изменя'емся	изменя'етесь	изменя'ются
храпеть	храпе'ть	snore, snort	schnarchen, schnauben	imperfective	захрапеть,похрапеть	храпи'	храпи'те	храпе'л	храпе'ла	храпе'ло	храпе'ли	храплю'	храпи'шь	храпи'т	храпи'м	храпи'те	храпя'т
пристрелить	пристрели'ть	shoot, destroy, adjust, zero	erschiessen	perfective	пристреливать	пристрели'	пристрели'те	пристрели'л	пристрели'ла	пристрели'ло	пристрели'ли	пристрелю'	пристре'лишь	пристре'лит	пристре'лим	пристре'лите	пристре'лят
умудриться	умудри'ться	manage to	es fertigbringen, es hinbekommen	perfective	умудряться	умудри'сь	умудри'тесь	умудри'лся	умудри'лась	умудри'лось	умудри'лись	умудрю'сь	умудри'шься	умудри'тся	умудри'мся	умудри'тесь	умудря'тся
сотрудничать	сотру'дничать	collaborate, co-operate, contribute, work on newspaper	zusammenarbeiten	imperfective	-	сотру'дничай	сотру'дничайте	сотру'дничал	сотру'дничала	сотру'дничало	сотру'дничали	сотру'дничаю	сотру'дничаешь	сотру'дничает	сотру'дничаем	сотру'дничаете	сотру'дничают
выигрывать	выи'грывать	win, gain	gewinnen	imperfective	выиграть	выи'грывай	выи'грывайте	выи'грывал	выи'грывала	выи'грывало	выи'грывали	выи'грываю	выи'грываешь	выи'грывает	выи'грываем	выи'грываете	выи'грывают
вглядеться	вгляде'ться	peer	aufmerksam betrachten	perfective	вглядываться	вгляди'сь	вгляди'тесь	вгляде'лся	вгляде'лась	вгляде'лось	вгляде'лись	вгляжу'сь	вгляди'шься	вгляди'тся	вгляди'мся	вгляди'тесь	вглядя'тся
уменьшить	уме'ньшить	diminish, decrease, lessen, reduce, abate, cut down, extenuate	verkleinern, kleiner machen, verringern, vermindern, reduzieren	perfective	уменьшать	уме'ньши	уме'ньшите	уме'ньшил	уме'ньшила	уме'ньшило	уме'ньшили	уме'ньшу	уме'ньшишь	уме'ньшит	уме'ньшим	уме'ньшите	уме'ньшат
обрабатывать	обраба'тывать	work, treat, process, machine, cultivate, dress, polish, influence, persuade	bearbeiten, bestellen, verarbeiten	imperfective	обработать	обраба'тывай	обраба'тывайте	обраба'тывал	обраба'тывала	обраба'тывало	обраба'тывали	обраба'тываю	обраба'тываешь	обраба'тывает	обраба'тываем	обраба'тываете	обраба'тывают
ставиться	ставиться		gestellt werden, hingestellt werden; inszeniert werden, aufgeführt werden; geschult werden, ausgebildet werden; eingestellt werden, ernannt werden; einen ausgegeben bekommen	imperfective	поставиться												
завершать	заверша'ть	complete, conclude, crown	beenden / vollenden; abschließen	imperfective	завершить	заверша'й	заверша'йте	заверша'л	заверша'ла	заверша'ло	заверша'ли	заверша'ю	заверша'ешь	заверша'ет	заверша'ем	заверша'ете	заверша'ют
осмыслить	осмы'слить	give a meaning, interpret, comprehend	durchdenken, erfassen, verstehen, begreifen, deuten einen Sinn geben	perfective	осмысливать	осмы'сли	осмы'слите	осмы'слил	осмы'слила	осмы'слило	осмы'слили	осмы'слю	осмы'слишь	осмы'слит	осмы'слим	осмы'слите	осмы'слят
тлеть	тлеть	fester, smoulder	faulen, verwesen, glimmen	imperfective	истлеть	тле'й	тле'йте	тле'л	тле'ла	тле'ло	тле'ли	тле'ю	тле'ешь	тле'ет	тле'ем	тле'ете	тле'ют
ограничивать	ограни'чивать	limit, restrict	beschränken, einschränken; begrenzen, befristen	both	ограничить	ограни'чивай	ограни'чивайте	ограни'чивал	ограни'чивала	ограни'чивало	ограни'чивали	ограни'чиваю	ограни'чиваешь	ограни'чивает	ограни'чиваем	ограни'чиваете	ограни'чивают
брызнуть	бры'знуть	spurt out	spritzen, sprühen, hervorschiessen	perfective	брызгать	бры'зни	бры'зните	бры'знул	бры'знула	бры'знуло	бры'знули	бры'зну	бры'знешь	бры'знет	бры'знем	бры'знете	бры'знут
выпалить	вы'палить	shoot, fire, blurt out	ausräuchern, abfackeln; schießen, feuern, hervorstoßen	perfective	палить,выпаливать	вы'пали	вы'палите	вы'палил	вы'палила	вы'палило	вы'палили	вы'палю	вы'палишь	вы'палит	вы'палим	вы'палите	вы'палят
содрать	содра'ть		abreissen, abziehen, schälen, herunterziehen; schröpfen, bluten lassen, abknöpfen	perfective	драть,сдирать	сдери'	сдери'те	содра'л	содрала'	содра'ло	содра'ли	сдеру'	сдерёшь	сдерёт	сдерём	сдерёте	сдеру'т
вырубить	вы'рубить	cut down, fell, cut out, make	ausholzen, fällen, hacken	perfective	вырубать	вы'руби	вы'рубите	вы'рубил	вы'рубила	вы'рубило	вы'рубили	вы'рублю	вы'рубишь	вы'рубит	вы'рубим	вы'рубите	вы'рубят
взбираться	взбира'ться	climb, climb up, clamber, clamber up	ersteigen, hinaufklettern	imperfective	взобраться	взбира'йся	взбира'йтесь	взбира'лся	взбира'лась	взбира'лось	взбира'лись	взбира'юсь	взбира'ешься	взбира'ется	взбира'емся	взбира'етесь	взбира'ются
оккупировать	оккупи'ровать	occupy	okkupieren, besetzen	both		оккупи'руй	оккупи'руйте	оккупи'ровал	оккупи'ровала	оккупи'ровало	оккупи'ровали	оккупи'рую	оккупи'руешь	оккупи'рует	оккупи'руем	оккупи'руете	оккупи'руют
отвыкнуть	отвы'кнуть	get out of the habit, break oneself of the habit, try to break oneself of the habit, become estranged	sich entwöhnen	perfective	отвыкать	отвы'кни	отвы'кните	отвы'к	отвы'кла	отвы'кло	отвы'кли	отвы'кну	отвы'кнешь	отвы'кнет	отвы'кнем	отвы'кнете	отвы'кнут
отстоять	отстоя'ть		abliegen, entfernt sein, verteidigen, schützen, bestehen	perfective	отстаивать	отсто'й	отсто'йте	отстоя'л	отстоя'ла	отстоя'ло	отстоя'ли	отстою'	отстои'шь	отстои'т	отстои'м	отстои'те	отстоя'т
выгореть	вы'гореть		verbrennen, niederbrennen; verblassen, ausbleichen, verbleichen; gelingen, klappen, Glück haben	perfective	выгорать	вы'гори	вы'горите	вы'горел	вы'горела	вы'горело	вы'горели	вы'горю	вы'горишь	вы'горит	вы'горим	вы'горите	вы'горят
долбить	долби'ть	hollow, gouge, chisel, peck, repeat over and over again	aushöhlen, einritzen, einmeisseln; büffeln, pauken; hämmern, trommeln, schlagen	imperfective	продолбить;выдолбить	долби'	долби'те	долби'л	долби'ла	долби'ло	долби'ли	долблю'	долби'шь	долби'т	долби'м	долби'те	долбя'т
разгораться	разгора'ться	flame up, flare up	entflammen, aufflammen, entbrennen, auflodern, erglühen; aufblitzen, aufleuchten	imperfective	разгореться	разгора'йся	разгора'йтесь	разгора'лся	разгора'лась	разгора'лось	разгора'лись	разгора'юсь	разгора'ешься	разгора'ется	разгора'емся	разгора'етесь	разгора'ются
качнуть	качну'ть	rock, shake, dandle, lift up, chair, pump	schaukeln, wiegen	perfective	качать	качни'	качни'те	качну'л	качну'ла	качну'ло	качну'ли	качну'	качнёшь	качнёт	качнём	качнёте	качну'т
обменяться	обменя'ться	exchange, swap, swop	tauschen, wechseln	perfective	обмениваться	обменя'йся	обменя'йтесь	обменя'лся	обменя'лась	обменя'лось	обменя'лись	обменя'юсь	обменя'ешься	обменя'ется	обменя'емся	обменя'етесь	обменя'ются
расхаживать	расха'живать		auf und ab gehen	imperfective		расха'живай	расха'живайте	расха'живал	расха'живала	расха'живало	расха'живали	расха'живаю	расха'живаешь	расха'живает	расха'живаем	расха'живаете	расха'живают
обгонять	обгоня'ть	outrun, outstrip, outdistance, leave behind, pass, overtake	überholen, übertreffen	imperfective	обогнать	обгоня'й	обгоня'йте	обгоня'л	обгоня'ла	обгоня'ло	обгоня'ли	обгоня'ю	обгоня'ешь	обгоня'ет	обгоня'ем	обгоня'ете	обгоня'ют
сносить	сноси'ть	demolish, knock down, raze	abtragen / abreißen, abnutzen; wegtragen, fortbringen, niederreißen; ertragen, erdulden	both	снашивать;снести	сноси'	сноси'те	сноси'л	сноси'ла	сноси'ло	сноси'ли	сношу'	сно'сишь	сно'сит	сно'сим	сно'сите	сно'сят
возбуждать	возбужда'ть	excite, rouse, arouse, stir, stir up, instigate, incite, raise	erregen, erwecken, hervorrufen, anregen	imperfective	возбудить	возбужда'й	возбужда'йте	возбужда'л	возбужда'ла	возбужда'ло	возбужда'ли	возбужда'ю	возбужда'ешь	возбужда'ет	возбужда'ем	возбужда'ете	возбужда'ют
установиться	установи'ться	to be established	sich herausbilden, sich entwickeln, anhalten, eintreten	perfective	устанавливаться	установи'сь	установи'тесь	установи'лся	установи'лась	установи'лось	установи'лись	установлю'сь	устано'вишься	устано'вится	устано'вимся	устано'витесь	устано'вятся
извиваться	извива'ться	coil, wriggle, twist, wind, meander, cringe	sich winden, sich schlängeln	imperfective	извиться	извива'йся	извива'йтесь	извива'лся	извива'лась	извива'лось	извива'лись	извива'юсь	извива'ешься	извива'ется	извива'емся	извива'етесь	извива'ются
употребить	употреби'ть	use, make use, take, apply	benutzen, gebrauchen, anwenden, verwenden	perfective	употреблять	употреби'	употреби'те	употреби'л	употреби'ла	употреби'ло	употреби'ли	употреблю'	употреби'шь	употреби'т	употреби'м	употреби'те	употребя'т
вбить	вбить	drive in, hammer in	einschlagen, einhämmern	perfective	вбивать	вбе'й	вбе'йте	вби'л	вби'ла	вби'ло	вби'ли	вобью'	вобьёшь	вобьёт	вобьём	вобьёте	вобью'т
пнуть	пнуть	kick	treten	perfective	пинать	пни'	пни'те	пну'л	пну'ла	пну'ло	пну'ли	пну'	пнёшь	пнёт	пнём	пнёте	пну'т
возвести	возвести'	erect, raise, elevate, lift up, derive, trace	errichten, aufbauen; nach oben führen, hinaufführen	perfective	возводить	возведи'	возведи'те	возвёл	возвела'	возвело'	возвели'	возведу'	возведёшь	возведёт	возведём	возведёте	возведу'т
подоспеть	подоспе'ть	come in time, arrive in time	zur rechten Zeit kommen	perfective	подоспевать	подоспе'й	подоспе'йте	подоспе'л	подоспе'ла	подоспе'ло	подоспе'ли	подоспе'ю	подоспе'ешь	подоспе'ет	подоспе'ем	подоспе'ете	подоспе'ют
превосходить	превосходи'ть	excel, surpass, exceed	überbieten; übertreffen	imperfective	превзойти	превосходи'	превосходи'те	превосходи'л	превосходи'ла	превосходи'ло	превосходи'ли	превосхожу'	превосхо'дишь	превосхо'дит	превосхо'дим	превосхо'дите	превосхо'дят
грести	грести'	row, pull, scull, paddle, rake	rudern, paddeln	imperfective	-	греби'	греби'те	грёб	гребла'	гребло'	гребли'	гребу'	гребёшь	гребёт	гребём	гребёте	гребу'т
разрабатывать	разраба'тывать	design, develop, devise, draw up, work out	ausarbeiten, entwickeln, erarbeiten	imperfective	разработать	разраба'тывай	разраба'тывайте	разраба'тывал	разраба'тывала	разраба'тывало	разраба'тывали	разраба'тываю	разраба'тываешь	разраба'тывает	разраба'тываем	разраба'тываете	разраба'тывают
поломать	полома'ть	break	brechen, abbrechen, zerbrechen, zerschlagen, kaputt machen, abreißen, niederreißen	perfective	ломать	полома'й	полома'йте	полома'л	полома'ла	полома'ло	полома'ли	полома'ю	полома'ешь	полома'ет	полома'ем	полома'ете	полома'ют
затягивать	затя'гивать	tighten, cover, close, delay, drag out, drag in, suck in, inveigle	festziehen, zuziehen, bedecken; verzögern, in die Länge ziehen, überziehen	imperfective	затянуть	затя'гивай	затя'гивайте	затя'гивал	затя'гивала	затя'гивало	затя'гивали	затя'гиваю	затя'гиваешь	затя'гивает	затя'гиваем	затя'гиваете	затя'гивают
забираться	забира'ться	perch, climb, get, reach, penetrate	hinaufsteigen, hinaufklettern, eindringen, sich schleichen	imperfective	забраться	забира'йся	забира'йтесь	забира'лся	забира'лась	забира'лось	забира'лись	забира'юсь	забира'ешься	забира'ется	забира'емся	забира'етесь	забира'ются
являть	явля'ть	show, be	unter Beweis stellen, offenbaren, zeigen	imperfective	явить	явля'й	явля'йте	явля'л	явля'ла	явля'ло	явля'ли	явля'ю	явля'ешь	явля'ет	явля'ем	явля'ете	явля'ют
накрывать	накрыва'ть	cover	decken, bedecken, zudecken	imperfective	накрыть	накрыва'й	накрыва'йте	накрыва'л	накрыва'ла	накрыва'ло	накрыва'ли	накрыва'ю	накрыва'ешь	накрыва'ет	накрыва'ем	накрыва'ете	накрыва'ют
пошевелиться	пошевели'ться		sich bewegen, sich rühren	perfective	шевелиться	пошевели'сь	пошевели'тесь	пошевели'лся	пошевели'лась	пошевели'лось	пошевели'лись	пошевелю'сь	пошевели'шься	пошевели'тся	пошевели'мся	пошевели'тесь	пошевеля'тся
пересчитать	пересчита'ть	count	zählen, nachrechnen, umrechnen	perfective	пересчитывать	пересчита'й	пересчита'йте	пересчита'л	пересчита'ла	пересчита'ло	пересчита'ли	пересчита'ю	пересчита'ешь	пересчита'ет	пересчита'ем	пересчита'ете	пересчита'ют
окинуть	оки'нуть	to cast round	mustern	perfective	окидывать	оки'нь	оки'ньте	оки'нул	оки'нула	оки'нуло	оки'нули	оки'ну	оки'нешь	оки'нет	оки'нем	оки'нете	оки'нут
угнать	угна'ть	drive away, steal, hijack, high-jack, skyjack	entführen, rauben, stehlen; wegtreiben; verjagen	perfective	угонять	угони'	угони'те	угна'л	угнала'	угна'ло	угна'ли	угоню'	уго'нишь	уго'нит	уго'ним	уго'ните	уго'нят
проявиться	прояви'ться		sich zeigen, sich äußern, zutage treten	perfective	проявляться	прояви'сь	прояви'тесь	прояви'лся	прояви'лась	прояви'лось	прояви'лись	проявлю'сь	проя'вишься	проя'вится	проя'вимся	проя'витесь	проя'вятся
преобладать	преоблада'ть	prevail, predominate	vorherrschen, überwiegen, dominieren	imperfective		преоблада'й	преоблада'йте	преоблада'л	преоблада'ла	преоблада'ло	преоблада'ли	преоблада'ю	преоблада'ешь	преоблада'ет	преоблада'ем	преоблада'ете	преоблада'ют
прохрипеть	прохрипе'ть	wheeze, speak hoarsely, croak	eine Zeit lang heiser sein, eine Zeit lang röcheln	perfective	-	прохрипи'	прохрипи'те	прохрипе'л	прохрипе'ла	прохрипе'ло	прохрипе'ли	прохриплю'	прохрипи'шь	прохрипи'т	прохрипи'м	прохрипи'те	прохрипя'т
пожелтеть	пожелте'ть	turn yellow, show yellow	gelb werden, vergilben, gelb schimmern	perfective	желтеть	пожелте'й	пожелте'йте	пожелте'л	пожелте'ла	пожелте'ло	пожелте'ли	пожелте'ю	пожелте'ешь	пожелте'ет	пожелте'ем	пожелте'ете	пожелте'ют
обучать	обуча'ть	teach, train	unterrichten, ausgebildet werden	imperfective	обучить	обуча'й	обуча'йте	обуча'л	обуча'ла	обуча'ло	обуча'ли	обуча'ю	обуча'ешь	обуча'ет	обуча'ем	обуча'ете	обуча'ют
развлекаться	развлека'ться	have a good time	sich unterhalten, sich amüsieren, sich zerstreuen	imperfective	развлечься	развлека'йся	развлека'йтесь	развлека'лся	развлека'лась	развлека'лось	развлека'лись	развлека'юсь	развлека'ешься	развлека'ется	развлека'емся	развлека'етесь	развлека'ются
перебрать	перебра'ть	to organize; to drink	sortieren, durchsehen, auslesen	perfective	перебирать	перебери'	перебери'те	перебра'л	перебрала'	перебра'ло	перебра'ли	переберу'	переберёшь	переберёт	переберём	переберёте	переберу'т
разорить	разори'ть	destroy, ravage, ruin, bring to ruin	zerstören, plündern, verheeren, ruinieren, zugrunde richten	perfective	разорять	разори'	разори'те	разори'л	разори'ла	разори'ло	разори'ли	разорю'	разори'шь	разори'т	разори'м	разори'те	разоря'т
включиться	включи'ться	join, take part	sich einschalten, sich anschließen, teilnehmen; angehen; begreifen, kapieren	perfective	включаться	включи'сь	включи'тесь	включи'лся	включи'лась	включи'лось	включи'лись	включу'сь	включи'шься	включи'тся	включи'мся	включи'тесь	включа'тся
отбивать	отбива'ть	repulse, repel, win over, retake, recapture, break off, take away, remove, whet	zurückschlagen, abschlagen, parieren, abbrechen; abspenstig machen, weglocken, wegschnappen	imperfective	отбить	отбива'й	отбива'йте	отбива'л	отбива'ла	отбива'ло	отбива'ли	отбива'ю	отбива'ешь	отбива'ет	отбива'ем	отбива'ете	отбива'ют
мычать	мыча'ть	low, moo, bellow, be inarticulate, mumble	muhen, brüllen; murmeln	imperfective	промычать	мычи'	мычи'те	мыча'л	мыча'ла	мыча'ло	мыча'ли	мычу'	мычи'шь	мычи'т	мычи'м	мычи'те	мыча'т
чесаться	чеса'ться	scratch oneself, itch	sich jucken, sich kratzen, sich scheuern; sich kämmen	imperfective	-	чеши'сь	чеши'тесь	чеса'лся	чеса'лась	чеса'лось	чеса'лись	чешу'сь	че'шешься	че'шется	че'шемся	че'шетесь	че'шутся
пересохнуть	пересо'хнуть	dry up, get too dry, get dry, become parched	austrocknen, vertrocknen	perfective	пересыхать	пересо'хни	пересо'хните	пересо'х	пересо'хла	пересо'хло	пересо'хли	пересо'хну	пересо'хнешь	пересо'хнет	пересо'хнем	пересо'хнете	пересо'хнут
загонять	загоня'ть	drive in, drive, bring to bay, flog, tire out, exhaust, drive too hard, ride too hard, ride to death	abhetzen, abjagen; quälen, fertigmachen	imperfective	загнать	загоня'й	загоня'йте	загоня'л	загоня'ла	загоня'ло	загоня'ли	загоня'ю	загоня'ешь	загоня'ет	загоня'ем	загоня'ете	загоня'ют
испугать	испуга'ть	frighten, scare, intimidate, threaten	erschrecken	perfective	пугать	испуга'й	испуга'йте	испуга'л	испуга'ла	испуга'ло	испуга'ли	испуга'ю	испуга'ешь	испуга'ет	испуга'ем	испуга'ете	испуга'ют
засесть	засе'сть	sit down, set, stick, stick fast, sit firm, settle, establish oneself, consolidate	tagen, eine Sitzung haben	perfective	засаживаться,заседать	зася'дь	зася'дьте	засе'л	засе'ла	засе'ло	засе'ли	зася'ду	зася'дешь	зася'дет	зася'дем	зася'дете	зася'дут
втягивать	втя'гивать	pull, draw, induce to participate, involve	hineinziehen, hinaufziehen, heranziehen	imperfective	втянуть	втя'гивай	втя'гивайте	втя'гивал	втя'гивала	втя'гивало	втя'гивали	втя'гиваю	втя'гиваешь	втя'гивает	втя'гиваем	втя'гиваете	втя'гивают
расширяться	расширя'ться	widen, broaden, gain in breadth, dilate, increase, become wider	sich verbreitern, breiter werden, ausgebaut werden, steigen, zunehmen, sich dehnen, sich erweitem, sich verbreiten	imperfective	расшириться	расширя'йся	расширя'йтесь	расширя'лся	расширя'лась	расширя'лось	расширя'лись	расширя'юсь	расширя'ешься	расширя'ется	расширя'емся	расширя'етесь	расширя'ются
позавтракать	поза'втракать	breakfast, lunch	frühstücken	perfective	завтракать	поза'втракай	поза'втракайте	поза'втракал	поза'втракала	поза'втракало	поза'втракали	поза'втракаю	поза'втракаешь	поза'втракает	поза'втракаем	поза'втракаете	поза'втракают
всхлипнуть	всхли'пнуть	sob	schluchzen	perfective	всхлипывать	всхли'пни	всхли'пните	всхли'пнул	всхли'пнула	всхли'пнуло	всхли'пнули	всхли'пну	всхли'пнешь	всхли'пнет	всхли'пнем	всхли'пнете	всхли'пнут
клубиться	клуби'ться	curl, wreathe, swirl	sich ballen, aufsteigen	imperfective		клуби'сь	клуби'тесь	клуби'лся	клуби'лась	клуби'лось	клуби'лись	клублю'сь	клуби'шься	клуби'тся	клуби'мся	клуби'тесь	клубя'тся
разогнать	разогна'ть	drive away, disperse, break up, dispel, speed up, race, drive at high speed, space	auseinandertreiben, vertreiben	perfective	разгонять	разгони'	разгони'те	разогна'л	разогнала'	разогна'ло	разогна'ли	разгоню'	разго'нишь	разго'нит	разго'ним	разго'ните	разго'нят
грозиться	грози'ться	threaten	drohen	imperfective	погрозиться	грози'сь	грози'тесь	грози'лся	грози'лась	грози'лось	грози'лись	грожу'сь	грози'шься	грози'тся	грози'мся	грози'тесь	грозя'тся
сдерживаться	сде'рживаться	hold oneself in check	sich zurückhalten, sich beherrschen	imperfective	сдержаться	сде'рживайся	сде'рживайтесь	сде'рживался	сде'рживалась	сде'рживалось	сде'рживались	сде'рживаюсь	сде'рживаешься	сде'рживается	сде'рживаемся	сде'рживаетесь	сде'рживаются
каяться	ка'яться	repent	bereuen, Buße tun	imperfective	покаяться,раскаяться	ка'йся	ка'йтесь	ка'ялся	ка'ялась	ка'ялось	ка'ялись	ка'юсь	ка'ешься	ка'ется	ка'емся	ка'етесь	ка'ются
побеседовать	побесе'довать	have a talk, talk	sich unterhalten, ein Gespräch führen	perfective	беседовать	побесе'дуй	побесе'дуйте	побесе'довал	побесе'довала	побесе'довало	побесе'довали	побесе'дую	побесе'дуешь	побесе'дует	побесе'дуем	побесе'дуете	побесе'дуют
обогнуть	обогну'ть	round, skirt, double	einfassen, umfassen, umgehen, umschiffen	perfective	огибать	обогни'	обогни'те	обогну'л	обогну'ла	обогну'ло	обогну'ли	обогну'	обогнёшь	обогнёт	обогнём	обогнёте	обогну'т
перечитывать	перечи'тывать	re-read	lesen, nochmals lesen	imperfective	перечитать,перечесть	перечи'тывай	перечи'тывайте	перечи'тывал	перечи'тывала	перечи'тывало	перечи'тывали	перечи'тываю	перечи'тываешь	перечи'тывает	перечи'тываем	перечи'тываете	перечи'тывают
парализовать	парализова'ть	paralyse, palsy, petrify	paralysieren, lähmen, lahmlegen	both		парализу'й	парализу'йте	парализова'л	парализова'ла	парализова'ло	парализова'ли	парализу'ю	парализу'ешь	парализу'ет	парализу'ем	парализу'ете	парализу'ют
включаться	включа'ться	join, take part	sich einschalten, sich anschliessen, teilnehmen; angehen; begreifen, kapieren	imperfective	включиться	включа'йся	включа'йтесь	включа'лся	включа'лась	включа'лось	включа'лись	включа'юсь	включа'ешься	включа'ется	включа'емся	включа'етесь	включа'ются
разлететься	разлете'ться	fly away	auseinanderfliegen; auseinanderspritzen, sprühen; sich ausbreiten, verbreiten	perfective	разлетаться	разлети'сь	разлети'тесь	разлете'лся	разлете'лась	разлете'лось	разлете'лись	разлечу'сь	разлети'шься	разлети'тся	разлети'мся	разлети'тесь	разлетя'тся
долететь	долете'ть	fly so far, fly, reach	fliegen, erreichen	perfective	долетать	долети'	долети'те	долете'л	долете'ла	долете'ло	долете'ли	долечу'	долети'шь	долети'т	долети'м	долети'те	долетя'т
пытать	пыта'ть	torture, torment, try	foltern	imperfective	-	пыта'й	пыта'йте	пыта'л	пыта'ла	пыта'ло	пыта'ли	пыта'ю	пыта'ешь	пыта'ет	пыта'ем	пыта'ете	пыта'ют
преувеличивать	преувели'чивать	exaggerate, overstate	übertreiben, überschätzen	imperfective	преувеличить	преувели'чивай	преувели'чивайте	преувели'чивал	преувели'чивала	преувели'чивало	преувели'чивали	преувели'чиваю	преувели'чиваешь	преувели'чивает	преувели'чиваем	преувели'чиваете	преувели'чивают
нырять	ныря'ть	dive	tauchen, untertauchen; eintauchen (eindringen)	imperfective	нырнуть	ныря'й	ныря'йте	ныря'л	ныря'ла	ныря'ло	ныря'ли	ныря'ю	ныря'ешь	ныря'ет	ныря'ем	ныря'ете	ныря'ют
прибавиться	приба'виться		sich vermehren, sich vergrößern	perfective	прибавляться	приба'вься	приба'вьтесь	приба'вился	приба'вилась	приба'вилось	приба'вились	приба'влюсь	приба'вишься	приба'вится	приба'вимся	приба'витесь	приба'вятся
разоблачить	разоблачи'ть	uncover, divest, unclothe, undress, disclose, expose, unmask, lay bare, denounce	entlarven; enthüllen / aufdecken; entkleiden	perfective	разоблачать	разоблачи'	разоблачи'те	разоблачи'л	разоблачи'ла	разоблачи'ло	разоблачи'ли	разоблачу'	разоблачи'шь	разоблачи'т	разоблачи'м	разоблачи'те	разоблача'т
погрозить	погрози'ть		drohen	perfective	грозить	погрози'	погрози'те	погрози'л	погрози'ла	погрози'ло	погрози'ли	погрожу'	погрози'шь	погрози'т	погрози'м	погрози'те	погрозя'т
слезать	слеза'ть	dismount, get out, get off, alight	runtersteigen	imperfective	слезть	слеза'й	слеза'йте	слеза'л	слеза'ла	слеза'ло	слеза'ли	слеза'ю	слеза'ешь	слеза'ет	слеза'ем	слеза'ете	слеза'ют
орудовать	ору'довать	handle, run, boss, be active	handhaben, umgehen; am Werk sein, tätig sein	imperfective	-	ору'дуй	ору'дуйте	ору'довал	ору'довала	ору'довало	ору'довали	ору'дую	ору'дуешь	ору'дует	ору'дуем	ору'дуете	ору'дуют
обнажить	обнажи'ть	bare, uncover, expose, unsheathe, draw, lay bare, reveal	entblößen	perfective	обнажать	обнажи'	обнажи'те	обнажи'л	обнажи'ла	обнажи'ло	обнажи'ли	обнажу'	обнажи'шь	обнажи'т	обнажи'м	обнажи'те	обнажа'т
критиковать	критикова'ть	criticize, carp, find fault	kritisieren	imperfective	-	критику'й	критику'йте	критикова'л	критикова'ла	критикова'ло	критикова'ли	критику'ю	критику'ешь	критику'ет	критику'ем	критику'ете	критику'ют
исписать	исписа'ть	use up, cover with writing	vollschreiben	perfective	исписывать	испиши'	испиши'те	исписа'л	исписа'ла	исписа'ло	исписа'ли	испишу'	испи'шешь	испи'шет	испи'шем	испи'шете	испи'шут
промахнуться	промахну'ться	miss, miss the mark, fail to hit, miscue, be wide of the mark	das Ziel verfehlen, danebenschießen	perfective	промахиваться	промахни'сь	промахни'тесь	промахну'лся	промахну'лась	промахну'лось	промахну'лись	промахну'сь	промахнёшься	промахнётся	промахнёмся	промахнётесь	промахну'тся
подкатить	подкати'ть	roll, drive, roll up, drive up; to hit on, to flirt	heranrollen, heranwälzen; schnell angefahren kommen; aufkommen (Schmerz); beklommen machen; sich zeitlich nähern, zeitlich anbrechen, zeitlich kommen	perfective	подкатывать	подкати'	подкати'те	подкати'л	подкати'ла	подкати'ло	подкати'ли	подкачу'	подка'тишь	подка'тит	подка'тим	подка'тите	подка'тят
подкинуть	подки'нуть		geben; fahren; unterschieben, hochwerfen	perfective	подкидывать	подки'нь	подки'ньте	подки'нул	подки'нула	подки'нуло	подки'нули	подки'ну	подки'нешь	подки'нет	подки'нем	подки'нете	подки'нут
прислонить	прислони'ть	lean, rest	anlehnen	perfective	прислонять	прислони'	прислони'те	прислони'л	прислони'ла	прислони'ло	прислони'ли	прислоню'	присло'нишь	присло'нит	присло'ним	присло'ните	присло'нят
плестись	плести'сь	drag oneself along, toil along, trudge	trotteln, sich schleppen, langsam gehen, zuckeln	imperfective	-	плети'сь	плети'тесь	плёлся	плела'сь	плело'сь	плели'сь	плету'сь	плетёшься	плетётся	плетёмся	плетётесь	плету'тся
слететь	слете'ть	fall off, fly off	herunterfliegen, fliegen, fallen	perfective	слетать	слети'	слети'те	слете'л	слете'ла	слете'ло	слете'ли	слечу'	слети'шь	слети'т	слети'м	слети'те	слетя'т
