bare	accented	translations_en	translations_de	aspect	partner	imperative_sg	imperative_pl	past_m	past_f	past_n	past_pl	presfut_sg1	presfut_sg2	presfut_sg3	presfut_pl1	presfut_pl2	presfut_pl3
переселиться	пересели'ться	To move; To change place of living; To immigrate	umziehen, übersiedeln; umsiedeln, auswandern	perfective	переселяться	пересели'сь	пересели'тесь	пересели'лся	пересели'лась	пересели'лось	пересели'лись	переселю'сь	пересели'шься	пересели'тся	пересели'мся	пересели'тесь	переселя'тся
подкладывать	подкла'дывать	lay, put, line, add, put some more, put furtively	unterlegen, zulegen, hinzufügen	imperfective	подложить	подкла'дывай	подкла'дывайте	подкла'дывал	подкла'дывала	подкла'дывало	подкла'дывали	подкла'дываю	подкла'дываешь	подкла'дывает	подкла'дываем	подкла'дываете	подкла'дывают
затруднить	затрудни'ть	hamper, impede, make difficulties, embarrass	schwerfallen, etwas ausmachen, erschweren	perfective	затруднять	затрудни'	затрудни'те	затрудни'л	затрудни'ла	затрудни'ло	затрудни'ли	затрудню'	затрудни'шь	затрудни'т	затрудни'м	затрудни'те	затрудня'т
жаловать	жа'ловать	grant, bestow, favour, regard with favour, visit	(besuchen) kommen, willkommen sein; jmd. begünstigen / die Gunst erweisen, jmd. befördern, etw. verleihen, etw. schenken, jmd. adeln, jmd. erheben	imperfective	пожаловать	жа'луй	жа'луйте	жа'ловал	жа'ловала	жа'ловало	жа'ловали	жа'лую	жа'луешь	жа'лует	жа'луем	жа'луете	жа'луют
выхватывать	выхва'тывать	snatch out	herausreißen, herausgreifen; entreißen, wegschnappen	imperfective	выхватить	выхва'тывай	выхва'тывайте	выхва'тывал	выхва'тывала	выхва'тывало	выхва'тывали	выхва'тываю	выхва'тываешь	выхва'тывает	выхва'тываем	выхва'тываете	выхва'тывают
крепиться	крепи'ться	attach, secure	sich zusammennehmen, sich fassen, die Fassung bewahren	imperfective	скрепиться	крепи'сь	крепи'тесь	крепи'лся	крепи'лась	крепи'лось	крепи'лись	креплю'сь	крепи'шься	крепи'тся	крепи'мся	крепи'тесь	крепя'тся
овладевать	овладева'ть	capture, seize, master, become proficient	in Besetz nehmen, Besitz ergreifen, erobern, besetzen, erfassen, ergreifen, befallen, erlernen, meistern, beherrschen	imperfective	овладеть	овладева'й	овладева'йте	овладева'л	овладева'ла	овладева'ло	овладева'ли	овладева'ю	овладева'ешь	овладева'ет	овладева'ем	овладева'ете	овладева'ют
опустошить	опустоши'ть	devastate, ravage, lay waste, empty	verwüsten, zerstören, verheeren; leeren	perfective	опустошать	опустоши'	опустоши'те	опустоши'л	опустоши'ла	опустоши'ло	опустоши'ли	опустошу'	опустоши'шь	опустоши'т	опустоши'м	опустоши'те	опустоша'т
достигаться	достига'ться		erreicht werden	imperfective	-			достига'лся	достига'лась	достига'лось	достига'лись			достига'ется			достига'ются
выпятить	вы'пятить	stick out, thrust out, over-emphasize, over-stress	herausstrecken, vorstrecken, in den Vordergrund rücken	perfective	выпячивать	вы'пяти	вы'пятите	вы'пятил	вы'пятила	вы'пятило	вы'пятили	вы'пячу	вы'пятишь	вы'пятит	вы'пятим	вы'пятите	вы'пятят
брезговать	бре'зговать		sich ekeln, └ Ekel / Widerwillen / Abneigung┘ empfinden, vor etwas └ zurückschrecken / zurückscheuen┘	imperfective	побрезговать	бре'згуй	бре'згуйте	бре'зговал	бре'зговала	бре'зговало	бре'зговали	бре'згую	бре'згуешь	бре'згует	бре'згуем	бре'згуете	бре'згуют
расцвести	расцвести'	bloom, blossom, flourish	aufblühen, Blüten └ treiben / entwickeln ┘	perfective	расцветать	расцвети'	расцвети'те	расцвёл	расцвела'	расцвело'	расцвели'	расцвету'	расцветёшь	расцветёт	расцветём	расцветёте	расцвету'т
полыхать	полыха'ть	blaze	lodern	imperfective	полыхнуть	полыха'й	полыха'йте	полыха'л	полыха'ла	полыха'ло	полыха'ли	полыха'ю	полыха'ешь	полыха'ет	полыха'ем	полыха'ете	полыха'ют
лизнуть	лизну'ть	lick	(ab)lecken; schlecken	perfective	лизать	лизни'	лизни'те	лизну'л	лизну'ла	лизну'ло	лизну'ли	лизну'	лизнёшь	лизнёт	лизнём	лизнёте	лизну'т
выкрасить	вы'красить	pain, dye, crumble	färben, streichen, anstreichen	perfective	выкрашивать	вы'краси//вы'крась	вы'красьте	вы'красил	вы'красила	вы'красило	вы'красили	вы'крашу	вы'красишь	вы'красит	вы'красим	вы'красите	вы'красят
пересчитывать	пересчи'тывать	re-count, count again, evaluate	zählen, nachrechnen, umrechnen	imperfective	пересчитать,перечесть	пересчи'тывай	пересчи'тывайте	пересчи'тывал	пересчи'тывала	пересчи'тывало	пересчи'тывали	пересчи'тываю	пересчи'тываешь	пересчи'тывает	пересчи'тываем	пересчи'тываете	пересчи'тывают
обозначиться	обозна'читься	show, appear	hervortreten, sichtbar werden, sich abzeichnen	perfective	обозначаться	обозна'чься	обозна'чьтесь	обозна'чился	обозна'чилась	обозна'чилось	обозна'чились	обозна'чусь	обозна'чишься	обозна'чится	обозна'чимся	обозна'читесь	обозна'чатся
помириться	помири'ться	be reconciled, make it up, reconcile oneself, resign oneself	sich versöhnen, sich aussöhnen, sich abfinden, sich zufrieden geben, sich fügen, dulden	perfective	мириться	помири'сь	помири'тесь	помири'лся	помири'лась	помири'лось	помири'лись	помирю'сь	помири'шься	помири'тся	помири'мся	помири'тесь	помиря'тся
затоптать	затопта'ть	trample down, trample under foot	zertreten, zerstampfen	perfective	затаптывать	затопчи'	затопчи'те	затопта'л	затопта'ла	затопта'ло	затопта'ли	затопчу'	зато'пчешь	зато'пчет	зато'пчем	зато'пчете	зато'пчут
выловить	вы'ловить	catch, get out, fish out	fischen, fangen, abfangen, herausfischen	perfective	вылавливать	вы'лови	вы'ловите	вы'ловил	вы'ловила	вы'ловило	вы'ловили	вы'ловлю	вы'ловишь	вы'ловит	вы'ловим	вы'ловите	вы'ловят
задаваться	задава'ться	wonder; give oneself airs, put on airs	sich fragen; sich aufspielen, angeben	imperfective	задаться	задава'йся	задава'йтесь	задава'лся	задава'лась	задава'лось	задава'лись	задаю'сь	задаёшься	задаётся	задаёмся	задаётесь	задаю'тся
оттягивать	оття'гивать	draw off, delay, procrastinate	wegziehen, abziehen, aufziehen, hinausziehen	imperfective	оттянуть	оття'гивай	оття'гивайте	оття'гивал	оття'гивала	оття'гивало	оття'гивали	оття'гиваю	оття'гиваешь	оття'гивает	оття'гиваем	оття'гиваете	оття'гивают
заглушать	заглуша'ть	muffle, deaden, drown, jam, alleviate, soothe, dull, choke, suppress, smother	übertönen, überwuchern, betäuben dämpfen	imperfective	заглушить	заглуша'й	заглуша'йте	заглуша'л	заглуша'ла	заглуша'ло	заглуша'ли	заглуша'ю	заглуша'ешь	заглуша'ет	заглуша'ем	заглуша'ете	заглуша'ют
перетянуть	перетяну'ть		hinüberziehen, für sich gewinnen; aufspannen, zusammenschnüren, zuziehen	perfective	перетягивать	перетяни'	перетяни'те	перетяну'л	перетяну'ла	перетяну'ло	перетяну'ли	перетяну'	перетя'нешь	перетя'нет	перетя'нем	перетя'нете	перетя'нут
фигурировать	фигури'ровать	figure, appear	figurieren, erscheinen, auftreten	imperfective	-	фигури'руй	фигури'руйте	фигури'ровал	фигури'ровала	фигури'ровало	фигури'ровали	фигури'рую	фигури'руешь	фигури'рует	фигури'руем	фигури'руете	фигури'руют
